group,seed_file,characteristic_key,name_fr,type,db_column,min,max,conversion_function,conversion_formula_trunc,has_norms_grid,dofus_source,dofus_field,dofus_global_min,dofus_global_max,dofus_anchors,dofus_spread_pct_1_200,krosmoz_anchors,dofus_extracted_at,statut_editorial
spell,spell/action_points-spell-definition.json,action_points_spell,"Coût en PA",int,pa,1,12,,"round(min(12,max(1,[d])))",1,,,,,,,,
spell,spell/action_points_variation-spell-definition.json,action_points_variation_spell,"Variation de PA",int,,0,3,,"round(min(3,max(0,[d])))",1,,,,,,,,
spell,spell/agi-spell-definition.json,agi_spell,Agilité,int,agi,0,8,,"round(min(8,max(0,0.55*pow(max(1,[d]),0.42))))",1,,,,,,,,
spell,spell/allows_reaction-spell-definition.json,allows_reaction_spell,"Utilisable en réaction",bool,allows_reaction,0,1,,"min(1,max(0,round([d])))",0,,,,,,,,
spell,spell/area-spell-definition.json,area_spell,Zone,int,area,0,10,,[d],1,,,,,,,,
spell,spell/armor_class-spell-definition.json,armor_class_spell,CA,int,ca,0,5,,"round(min(5,max(0,0.45*pow(max(1,abs([d])),0.78))))",1,,,,,,,,
spell,spell/attack_characteristic_key-spell-definition.json,attack_characteristic_key_spell,"Caractéristique d’attaque",string,attack_characteristic_key,,,,,0,,,,,,,,
spell,spell/auto_success_if_willing_target-spell-definition.json,auto_success_if_willing_target_spell,"Réussite auto si cible consentante",bool,auto_success_if_willing_target,0,1,,,0,,,,,,,,
spell,spell/bouclier-spell-definition.json,bouclier_spell,Bouclier,int,,0,32,convertToDice,"round(min(32, max(1, 1.00 * pow(max(1,[d]), 0.475))))",1,,,,,,,,
spell,spell/cast_per_target-spell-definition.json,cast_per_target_spell,"Lancers par cible",int,cast_per_target,0,99,,[d],1,,,,,,,,
spell,spell/cast_per_turn-spell-definition.json,cast_per_turn_spell,"Lancers par tour",int,cast_per_turn,0,99,,[d],1,,,,,,,,
spell,spell/casting_time-spell-definition.json,casting_time_spell,"Temps d'incantation",string,casting_time,,,,[d],1,,,,,,,,
spell,spell/category-spell-definition.json,category_spell,Catégorie,int,category,0,3,,,0,,,,,,,,
spell,spell/chance-spell-definition.json,chance_spell,Chance,int,chance,0,8,,"round(min(8,max(0,0.55*pow(max(1,[d]),0.42))))",1,,,,,,,,
spell,spell/critical-spell-definition.json,critical_spell,Critiques,int,critical,0,2,,"{""characteristic"":""level"",""1"":0,""7"":1,""14"":2}",1,,,,,,,,
spell,spell/critical_damage_reduction-spell-definition.json,critical_damage_reduction_spell,"Résistance critiques",int,res_crit,0,20,,"round(min(20,max(0,0.65*pow(max(1,[d]),0.48))))",1,,,,,,,,
spell,spell/do_fixe_multiple-spell-definition.json,do_fixe_multiple_spell,"Dommages fixes multi",int,do_fixe_multiple,0,20,,"round(min(20,max(0,0.58*pow(max(1,[d]),0.48))))",1,,,,,,,,
spell,spell/dodge-spell-definition.json,dodge_spell,Fuite,int,fuite,0,10,,"round(min(10,max(0,0.55*pow(max(1,[d]),0.45))))",1,,,,,,,,
spell,spell/dodge_action_points-spell-definition.json,dodge_action_points_spell,"Esquive PA",int,esquive_pa,0,20,,"round(min(20,max(0,0.65*pow(max(1,[d]),0.48))))",1,,,,,,,,
spell,spell/dodge_movement_points-spell-definition.json,dodge_movement_points_spell,"Esquive PM",int,esquive_pm,0,20,,"round(min(20,max(0,0.65*pow(max(1,[d]),0.48))))",1,,,,,,,,
spell,spell/dommages-spell-definition.json,dommages_spell,Dommages,int,,0,45,convertToDice,"round(min(45, max(1, 1.12 * pow(max(1,[d]), 0.475))))",1,,,,,,,,
spell,spell/duration-spell-definition.json,duration_spell,Durée,string,duration,,,,[d],1,,,,,,,,
spell,spell/element-spell-definition.json,element_spell,Élément,int,element,0,127,,,0,,,,,,,,
spell,spell/fixed_damage_air-spell-definition.json,fixed_damage_air_spell,"Dégâts fixe Air",int,do_air,0,5,,"round(min(5,max(0,0.28*pow(max(1,[d]),0.5))))",1,,,,,,,,
spell,spell/fixed_damage_earth-spell-definition.json,fixed_damage_earth_spell,"Dégâts fixe Terre",int,do_terre,0,5,,"round(min(5,max(0,0.28*pow(max(1,[d]),0.5))))",1,,,,,,,,
spell,spell/fixed_damage_fire-spell-definition.json,fixed_damage_fire_spell,"Dégâts fixe Feu",int,do_feu,0,5,,"round(min(5,max(0,0.28*pow(max(1,[d]),0.5))))",1,,,,,,,,
